trial_id,number_of_estimators,max_depth,random_state,prediction_horizon_months,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
f6f2b_00002,50,,42,6,26,2020-06-25,0.07154615764179041,0.025633818293840864,0.1396969587121354,0.6441933458882612
f6f2b_00002,50,,42,6,27,2020-07-08,0.01470384484141586,0.02318856052291369,0.016586608514911668,0.6388395500296034
f6f2b_00002,50,,42,6,28,2020-07-21,0.01587529997896015,0.07088504959342389,0.019587446787888717,0.6618099032441662
f6f2b_00002,50,,42,6,29,2020-08-03,0.04257777537150315,0.02016842169924138,0.09119756844775542,0.7221116639027086
f6f2b_00002,50,,42,6,30,2020-08-14,0.048516537709469496,0.0287504489037703,0.07734697100935317,0.7116639914392723
f6f2b_00002,50,,42,6,31,2020-08-27,0.06954147223724076,0.054722003526754104,0.06614645019869503,0.6647398843930635
f6f2b_00002,50,,42,6,32,2020-09-09,0.005420427314550334,0.0659449860936063,0.00934840325261944,0.6882323232323233
f6f2b_00002,50,,42,6,33,2020-09-22,0.007775523312942361,0.03509299438521514,0.011712168344725883,0.6491271820448877
f6f2b_00002,50,,42,6,34,2020-10-05,0.007048511885372533,0.01904847459791006,0.010556499576170345,0.6712577714012435
f6f2b_00002,50,,42,6,35,2020-10-16,0.008738077601041484,0.01925593036821299,0.014461461957414039,0.6680976050610031
f6f2b_00002,50,,42,6,36,2020-10-29,0.004969670040393398,0.02687801393442568,0.008753171065378753,0.7271572492334647
f6f2b_00002,50,,42,6,37,2020-11-11,0.009339133204602374,0.0462516262093809,0.018341372201739776,0.7266552755232806
f6f2b_00002,50,,42,6,38,2020-11-24,0.0025665071848115424,0.03742373507045148,0.005479580605896395,0.7041684210526317
f6f2b_00002,50,,42,6,39,2020-12-07,0.06370246555353982,-0.00695897300092284,0.16614877964189473,0.6681153363978269
f6f2b_00002,50,,42,6,40,2020-12-18,0.0018194135400276385,0.04363392541017096,0.004254369576950222,0.6018308631211856
f6f2b_00002,50,,42,6,41,2021-01-01,0.00954075812768471,0.05103277295585475,0.024256247685451225,0.6453539823008849
f6f2b_00002,50,,42,6,42,2021-01-14,0.009360581991666497,0.05195890507030603,0.024839738250783974,0.6396106835672251
f6f2b_00002,50,,42,6,43,2021-01-27,0.0017524275554582293,0.03027882854792066,0.003030484847712998,0.6271070615034169
f6f2b_00002,50,,42,6,44,2021-02-09,0.004307562620008769,0.02873702646087576,0.008537633571513392,0.6598181818181819
f6f2b_00002,50,,42,6,45,2021-02-22,0.004000580943276497,0.05234653377977123,0.0067330823437503394,0.6332111772789739
f6f2b_00002,50,,42,6,46,2021-03-05,0.0025331039378948574,0.0489821078330284,0.0038098000220970056,0.577262180974478
f6f2b_00002,50,,42,6,47,2021-03-18,0.0027992157816605127,0.06740093175039964,0.004395495111852451,0.6121606948968512
f6f2b_00002,50,,42,6,48,2021-03-31,0.055427764527029265,0.040703631284573404,0.10575083971848735,0.6598564593301435
f6f2b_00002,50,,42,6,49,2021-04-13,0.04088344444182779,0.038514963103300284,0.10423571410473827,0.6445054945054944
f6f2b_00002,50,,42,6,50,2021-04-26,0.04957908338047751,0.044221863191974124,0.09691297221629355,0.6248466257668712
f6f2b_00002,50,,42,6,51,2021-05-07,0.04186426683459133,0.04279366599859468,0.08433805898719995,0.6480351602895553
f6f2b_00002,50,,42,6,52,2021-05-20,0.019402429369032557,0.059226905205514435,0.03773488316101052,0.6327852516193323
f6f2b_00002,50,,42,6,53,2021-06-02,0.028226305655292088,0.031372605796568594,0.05107287628060511,0.7068946188340808
f6f2b_00002,50,,42,6,54,2021-06-15,0.03708915754587524,0.015010635098255712,0.04856919306371202,0.7756207674943567
f6f2b_00002,50,,42,6,55,2021-06-28,0.03429488832740048,-0.0035888892699520447,0.05200151814914581,0.7060066740823138
f6f2b_00002,50,,42,6,56,2021-07-09,0.028799929073599125,-0.02910789948239787,0.03720582640627199,0.7356698699830413
f6f2b_00002,50,,42,6,57,2021-07-22,0.025731679467222296,-0.004388564724075554,0.03155124762463207,0.751040525739321
f6f2b_00002,50,,42,6,58,2021-08-04,0.03277470555119886,0.0051585200558425005,0.0549462185846252,0.6636942675159236
f6f2b_00002,50,,42,6,59,2021-08-17,0.01862892474477496,-0.027305167573918817,0.01729932682109736,0.6929038751887266
f6f2b_00002,50,,42,6,60,2021-08-30,0.03452931018916047,-0.017952354188623405,0.05059471672979867,0.6391629297458894
f6f2b_00002,50,,42,6,61,2021-09-10,0.03820876110467022,-0.00873281276519497,0.04734274584963613,0.637005076142132
f6f2b_00002,50,,42,6,62,2021-09-23,0.020034163385016967,-0.04286163396244573,0.047585297743192485,0.618843373493976
f6f2b_00002,50,,42,6,63,2021-10-06,0.020298646758435405,-0.06286610396319825,0.04420414566739431,0.6443616029822926
f6f2b_00002,50,,42,6,64,2021-10-19,0.003470590111296436,-0.013300477352202382,0.00920631825046637,0.610699397869384
f6f2b_00002,50,,42,6,65,2021-11-01,0.003602271566284627,-0.0007961214342249871,0.00873235641819092,0.6441327723235157
f6f2b_00002,50,,42,6,66,2021-11-12,0.0030180988607954023,0.02483781014905348,0.006578242292528006,0.6632239382239383
f6f2b_00002,50,,42,6,67,2021-11-25,0.0036269042923619604,0.01977769135296352,0.00870231133389028,0.5590797846304455
f6f2b_00002,50,,42,6,68,2021-12-08,0.007238743250918824,-0.011166703665897964,0.01850089393949043,0.6192692692692693
