term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
C(split_index)[T.43],-0.03998499138323738,0.002469763200208463,-16.18980774345589,5.9514232038194645e-59,-0.044825638305988354,-0.0351443444604864
C(split_index)[T.44],-0.007839736200893312,0.00252389263789621,-3.1062082765248373,0.0018950318863773267,-0.012786474872015676,-0.002892997529770949
C(split_index)[T.45],-0.024080470943072724,0.002453785810642367,-9.813599393489357,9.839484521241761e-23,-0.028889802757707184,-0.019271139128438263
C(split_index)[T.46],-0.030654287778829295,0.0025321964039013347,-12.105809696120128,9.839365394774958e-34,-0.03561730153225775,-0.025691274025400838
C(split_index)[T.47],-0.03406081719800404,0.002541610364105018,-13.401274120944159,5.94339781598849e-41,-0.03904228197438361,-0.029079352421624467
C(split_index)[T.48],-0.016206035735622046,0.0026350349435604954,-6.150216631937423,7.73771868583504e-10,-0.021370609323005153,-0.01104146214823894
C(split_index)[T.49],-0.02911082187031028,0.0027004760387289418,-10.779885269417958,4.284197844904846e-27,-0.0344036576473324,-0.02381798609328816
C(split_index)[T.50],-0.03398683456180376,0.0027918956367832364,-12.173390048692033,4.308108470812353e-34,-0.03945884945849342,-0.028514819665114093
C(split_index)[T.51],-0.044321734572250714,0.0025941031414883978,-17.08557144987712,1.900719871797626e-65,-0.049406083301750184,-0.03923738584275124
C(split_index)[T.52],-0.015481510897955656,0.0025864286570973626,-5.985670958088551,2.1549963464358042e-09,-0.020550817914448787,-0.010412203881462528
C(split_index)[T.53],-0.005494725543300127,0.0027120421273704267,-2.0260472681623742,0.04275994103668608,-0.010810230437501553,-0.0001792206490987009
C(split_index)[T.54],0.009779891493619557,0.002973712733091491,3.288781523779642,0.001006220974798155,0.003951521636392064,0.015608261350847051
C(split_index)[T.55],-0.014088717579198268,0.002776820757939237,-5.073686351168713,3.9018199399898515e-07,-0.01953118625628239,-0.008646248902114148
C(split_index)[T.56],-0.007061216022237336,0.002599042657793328,-2.716852684608316,0.006590593518278199,-0.012155246025795518,-0.001967186018679153
C(split_index)[T.57],-0.005325950070813627,0.002715743511540277,-1.9611388366322302,0.04986282939627315,-0.010648709544680907,-3.1905969463466577e-06
C(split_index)[T.58],-0.022479487625394284,0.002628515287410382,-8.552161645421174,1.208044342336771e-17,-0.02763128292153158,-0.01732769232925699
C(split_index)[T.59],-0.007270403149161856,0.0026663142425946374,-2.72676154708865,0.006395924122914378,-0.012496283036113538,-0.002044523262210175
C(split_index)[T.60],-0.026303212088777974,0.0026176355974200346,-10.04846209865982,9.331224426173609e-24,-0.03143368358437123,-0.02117274059318472
C(split_index)[T.61],-0.025821154838124832,0.0027228507891720022,-9.483132509797514,2.467618248255363e-21,-0.031157844320178422,-0.020484465356071242
C(split_index)[T.62],-0.02874258451943406,0.0026455854316507926,-10.864356968241717,1.704194918040002e-27,-0.033927836683493466,-0.023557332355374654
C(split_index)[T.63],-0.02549488518941592,0.0025677091626624174,-9.929039300923268,3.112396789894413e-23,-0.030527502671007754,-0.020462267707824083
C(split_index)[T.64],-0.03293593189340867,0.0027106154949859194,-12.150720732738879,5.686210093048605e-34,-0.03824864063951728,-0.027623223147300056
C(split_index)[T.65],-0.029058971399586124,0.002600393029640666,-11.174838214207035,5.414895410213163e-29,-0.034155648083330825,-0.023962294715841423
C(split_index)[T.66],-0.03061345159109442,0.002444687591061196,-12.5224391464292,5.6278656305758104e-36,-0.03540495122302635,-0.02582195195916249
C(split_index)[T.67],-0.0400806322981669,0.0026128344609600567,-15.339904956489177,4.138003828218123e-53,-0.04520169373921373,-0.034959570857120065
C(split_index)[T.68],-0.03372767541758211,0.002496386239256217,-13.510599797101536,1.3541367828387678e-41,-0.03862050253802569,-0.02883484829713854
C(declared_band)[T.1]:C(model)[T.profile_coherent_light_gcn],-0.2873190141425904,0.009995159175389278,-28.745816759981746,1.0216521635393086e-181,-0.3069091661460985,-0.26772886213908237
C(declared_band)[T.2]:C(model)[T.profile_coherent_light_gcn],-0.30230745524911823,0.009989313001058072,-30.263087683517146,3.509791434924576e-201,-0.32188614896148976,-0.2827287615367467
C(declared_band)[T.3]:C(model)[T.profile_coherent_light_gcn],-0.1265660456038605,0.01102001937151106,-11.48510191652284,1.5675050651128496e-30,-0.1481648866809559,-0.10496720452676511
C(declared_band)[T.1]:C(model)[T.random_forest],-0.19462987682813612,0.013302574709249523,-14.630992953026336,1.7816778156524472e-48,-0.22070244415991858,-0.16855730949635367
C(declared_band)[T.2]:C(model)[T.random_forest],0.040911239412866174,0.013275656561259513,3.0816735295979036,0.0020584045904558246,0.014891430681674665,0.06693104814405768
