trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,25,2020-06-12,0.3551028059020249,0.01573011694070896,0.5522168560574415,0.7770734996628457,1.1397440565052475
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,26,2020-06-25,0.3582063282504077,0.03380599367905545,0.555122948188197,0.7902071563088512,1.1519211168785253
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,27,2020-07-08,0.35795300392273016,0.040837878135226414,0.556359791964387,0.7937833037300178,1.164687995396441
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,28,2020-07-21,0.36671310820095204,0.04637960369018788,0.5594530385548533,0.7947068867387592,1.1562986764275274
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,29,2020-08-03,0.37799001192128084,0.05136220251960009,0.5587259347156756,0.7857379767827529,1.1436646919327684
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,30,2020-08-14,0.375307031896144,0.03010598644531373,0.5540579232671327,0.7944355270197967,1.1514047685877438
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,31,2020-08-27,0.3814804687061476,0.03277341502079531,0.559443814263833,0.7684182869153967,1.1153725618641461
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,32,2020-09-09,0.3637566174290976,0.03871272183088602,0.5474842098078065,0.7826767676767677,1.1407689086605688
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,33,2020-09-22,0.3739714303201761,0.049113746871737224,0.5521167200846725,0.7849376558603491,1.1338627424561016
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,34,2020-10-05,0.37642338512811724,0.0531829094596549,0.5609543029447392,0.7897178383548541,1.1459779788345417
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,35,2020-10-16,0.36257663439892146,0.054577210854716805,0.5483982363404301,0.7865793041120651,1.1481844891138
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,36,2020-10-29,0.3592669593603012,0.07806364871569815,0.5375459572775966,0.7995181778361804,1.167642385935956
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,37,2020-11-11,0.3563759974732296,0.04910722973606752,0.5277894552052639,0.788808201623238,1.152571786848672
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,38,2020-11-24,0.3565662415658026,0.02509317186093842,0.5222990208508409,0.7885052631578947,1.143667315502617
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,39,2020-12-07,0.3443119884770928,0.0020431393342544343,0.5132431415590171,0.7887588800668617,1.1627121347432272
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,40,2020-12-18,0.34721369293918775,0.0028004544074965994,0.5136818711183451,0.797079337401918,1.1670382107301813
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,41,2021-01-01,0.3203869791611457,0.00810368819936841,0.48615931515140687,0.7914601769911505,1.152696348043499
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,42,2021-01-14,0.32055321850472296,0.006088051135060746,0.4924951944867482,0.7850611136260751,1.1394626525935607
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,43,2021-01-27,0.3162049777993335,0.019133333390906473,0.4888935320207844,0.794123006833713,1.1593674981238205
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,44,2021-02-09,0.3163185720789151,0.008401702145555278,0.4803584584177745,0.7955,1.167981229032095
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,45,2021-02-22,0.30416825805017317,0.014349688404024659,0.46954821872896596,0.7903344021988089,1.156068164864831
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,46,2021-03-05,0.2989030359691539,0.00839555783584154,0.4681439863155928,0.7845475638051044,1.146979804566233
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,47,2021-03-18,0.21312339645749265,0.011250229838534659,0.329875319660582,0.7775244299674268,1.138576376042939
