trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,25,2020-06-12,0.35684360295313333,0.01526813380915398,0.5485700077515158,0.7680377612946729
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,26,2020-06-25,0.3594220437909895,0.03284504971767168,0.5472636235708132,0.7768989328311362
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,27,2020-07-08,0.34830449233658645,0.039375200878231875,0.5412166315592373,0.7756068679692125
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,28,2020-07-21,0.3636140319139237,0.04702429634738783,0.546624297654454,0.7859988616960728
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,29,2020-08-03,0.3796116308291562,0.050841760021278534,0.5589586049179422,0.7792150359314538
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,30,2020-08-14,0.3598276477793894,0.03024372704964535,0.5398113304794872,0.7766720171214553
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,31,2020-08-27,0.3520193644209275,0.03195895790557245,0.5299403871831511,0.7533893851812927
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,32,2020-09-09,0.36512808625160664,0.037925853680632005,0.5412086064834367,0.7685353535353535
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,33,2020-09-22,0.3583857766134507,0.048763043949851856,0.5371716464036408,0.7743142144638404
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,34,2020-10-05,0.3554722416497929,0.053961896681189996,0.5453234848701773,0.7782400765184122
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,35,2020-10-16,0.38369125690904765,0.05397389182197574,0.5609220899533031,0.7789877993673746
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,36,2020-10-29,0.37007962362976804,0.07801333307912874,0.5387894696630477,0.7893999123959702
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,37,2020-11-11,0.34706920012701076,0.048401225320874604,0.5192926020059611,0.7778299871849638
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,38,2020-11-24,0.35416604541089824,0.024955299042191372,0.5185997880163726,0.7930526315789473
