trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,coherence_loss_weight,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,14,2020-01-27,0.439013379753393,-0.08317793529994229,0.5957440517668003,0.9754230459307011,1.2924081859535022
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,15,2020-02-07,0.4369912501861155,-0.07784055729198938,0.5917669633652176,0.9749791144527986,1.288233307894536
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,16,2020-02-20,0.4466530805733392,-0.08211898032068428,0.6065689200927118,0.9756536648092584,1.2874189172666113
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,17,2020-03-04,0.44811380984156135,-0.04216399592059996,0.6083238312738631,0.9760727611940297,1.285069339355648
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,18,2020-03-17,0.4487026852795691,0.05114720837055915,0.5992887266695701,0.9826853291861067,1.292883732023861
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,19,2020-03-30,0.4334379454870325,0.0250974111295517,0.5894450301056696,0.9830167597765362,1.2931753449688268
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,20,2020-04-10,0.4107035959708981,0.01716209857414199,0.5829680946776535,0.9860714285714285,1.2994667180054957
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,21,2020-04-23,0.40453605898230005,0.008590412128881526,0.5779469520989812,0.983343428225318,1.2928197996604107
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,22,2020-05-06,0.41002826445136653,0.012663386178897479,0.5829272813174606,0.9837368094351334,1.2940426102340037
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,23,2020-05-19,0.39886634725224945,-0.004974311821618625,0.5797720598669965,0.9829746835443037,1.2946720672092966
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,24,2020-06-01,0.38186211213269133,0.0039312371184318275,0.5699935748716237,0.982399472643375,1.293835135950723
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,25,2020-06-12,0.36706534253237044,0.018450766581809615,0.5645670454781557,0.9848954821308159,1.2968975357858241
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,26,2020-06-25,0.3723674699424184,0.04036343571586247,0.5620549551257428,0.9836158192090396,1.2965007485492488
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,27,2020-07-08,0.3858296022136904,0.044737372680929505,0.5677182143486468,0.9850207223209,1.301828545734403
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,28,2020-07-21,0.39849790846774447,0.050593232237185384,0.5745087037720573,0.9844621513944224,1.2992569164619845
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,29,2020-08-03,0.3941248206738116,0.05262026637917465,0.5686203286116304,0.9855721393034826,1.3060732178586891
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,30,2020-08-14,0.39380677624567884,0.03177539156988325,0.561581871827413,0.9842161583734618,1.3025142791335913
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,31,2020-08-27,0.4022557586788839,0.03352220958532142,0.5707073485868829,0.9824487651077246,1.300735464932791
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,32,2020-09-09,0.3941594538947695,0.04210896351138512,0.5639057078953604,0.9808585858585858,1.2994554767678343
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,33,2020-09-22,0.405010649478056,0.05032834803506059,0.5768919920536743,0.9806483790523691,1.297951548369767
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,34,2020-10-05,0.40479385161335957,0.0560032145324702,0.5718369910177149,0.9823051171688187,1.2989232686641665
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,35,2020-10-16,0.395168709356054,0.053418402599090996,0.5615052783263929,0.9815183009489381,1.2996997174246367
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,36,2020-10-29,0.3914582938567145,0.08039081524493633,0.5545822028385616,0.9827858081471746,1.3038610072148922
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,37,2020-11-11,0.3840966193113229,0.05442002484284627,0.5389403165435177,0.9847928235796668,1.307984767623141
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,38,2020-11-24,0.3886350014552951,0.030107740683978017,0.5407495336145393,0.9847157894736841,1.309422573609957
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,39,2020-12-07,0.3768896496198967,-0.0006043604390677882,0.5241583382317444,0.9834517342248225,1.3065756629115088
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,40,2020-12-18,0.3655760601855341,0.003323084081464869,0.5251830601394375,0.9826503923278116,1.3044336025611287
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,41,2021-01-01,0.34958616563428924,0.007433483425317302,0.5092396866789897,0.9851769911504424,1.3094435554084565
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,42,2021-01-14,0.34370598481537284,0.008143576459200908,0.49772474874408007,0.9851516523313716,1.309375266243295
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,43,2021-01-27,0.3357494573583234,0.018118976535832082,0.4916255515631384,0.9880637813211846,1.3161100271247754
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,44,2021-02-09,0.32384991817102105,0.00867828301773222,0.47647606036425344,0.9881363636363637,1.31732321881551
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,45,2021-02-22,0.3181680013572904,0.013813608275964529,0.4701802195635827,0.9882272102611086,1.316217243692461
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,46,2021-03-05,0.30389001139802846,0.00842752457097259,0.4583167748794855,0.988445475638051,1.318597769985431
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,47,2021-03-18,0.21904881907095666,0.01263486527381243,0.330245666307487,0.9883460007238509,1.3093673942647372
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,48,2021-03-31,0.26650319117294236,0.004179410470306203,0.41060134760185046,0.9880382775119617,1.3131250979117086
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,49,2021-04-13,0.24769806324543076,-0.004864449415072532,0.3898728515921008,0.9913586413586414,1.3193610764222685
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,50,2021-04-26,0.23478455010259539,-0.0068590567305977955,0.3837733459916682,0.9913599182004089,1.3170392426273883
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,51,2021-05-07,0.23521786027242153,0.005607189015262808,0.3939074558781734,0.9907962771458119,1.3166842076301666
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,52,2021-05-20,0.20261033934772643,0.0070994741277259155,0.3428863312078665,0.9893373193821624,1.308791177424501
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,53,2021-06-02,0.19739973469951175,0.006759953393039332,0.3440373876442718,0.9890134529147983,1.315905279357374
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,54,2021-06-15,0.20465051013113858,-0.00827333567852323,0.36712715692357656,0.9914785553047405,1.316643870481614
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,55,2021-06-28,0.20222956262727804,-0.002755883750130507,0.3533421435521096,0.9904894327030034,1.3137201986436369
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,56,2021-07-09,0.20915135633366863,-0.007098075867176524,0.3717146815228982,0.9877897117015263,1.3098082501277863
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,57,2021-07-22,0.2119235232740497,-0.004493432536141128,0.3873412975001146,0.9870208105147864,1.3084861437167934
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,58,2021-08-04,0.2069293649879259,0.0023259149981994048,0.3695423870897725,0.9848726114649682,1.306410052097904
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,59,2021-08-17,0.20644568523426104,-0.005961373498537164,0.3602254475559994,0.984952189229995,1.3083508623427076
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,60,2021-08-30,0.23145738563407675,-0.008320826348825831,0.4053487167245484,0.9855007473841555,1.3068603945624504
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,61,2021-09-10,0.23066479687341568,-0.012629123972111144,0.40464997257613367,0.9843147208121827,1.3049735312989212
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,62,2021-09-23,0.24624060577224754,-0.020413320013772603,0.41352887477491157,0.983855421686747,1.3026552995929892
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,63,2021-10-06,0.2569798181081996,-0.01207646446218248,0.42413451121481976,0.9838769804287046,1.3035563306551767
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,64,2021-10-19,0.25312086284347735,-0.013019787410286542,0.41382909035605214,0.9846225104214915,1.3038011565890817
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,65,2021-11-01,0.24966523262093734,-0.012958342170066937,0.4106808338926151,0.9835904628330996,1.3021579256951432
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,66,2021-11-12,0.16542327863135967,-0.007265099906358994,0.26144385965814537,0.9862290862290861,1.2952427759234275
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,67,2021-11-25,0.25830069746974826,-0.01787963490478488,0.4132429642244929,0.9827214880078317,1.3025205900247954
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,68,2021-12-08,0.261208432254724,-0.021165601805237192,0.40897840795501617,0.9836336336336337,1.3002586771004225
